N,TIME_MEAN,COMP_MEAN,ERR_MEAN,TIME_SD,COMP_SD,ERR_SD
2,1.268132219036806e-05,1.0,0.0,2.862264031800308e-06,0.0,0.0
4,1.9494769642653974e-05,6.0,0.0,3.0298551704464022e-06,0.0,0.0
8,3.8315948930758876e-05,28.0,0.0,2.977685271332178e-06,0.0,0.0
16,0.0001148841913464,120.0,0.0,9.069311120964423e-06,0.0,0.0
32,0.0004222346741018943,496.0,0.0,2.5382680699639364e-05,0.0,0.0
64,0.001652782403149651,2016.0,0.0,6.0041794184789564e-05,0.0,0.0
128,0.006573144671986404,8128.0,0.0,0.00022614202065151414,0.0,0.0
256,0.026333136465942975,32640.0,0.0,0.0008434998188634572,0.0,0.0
512,0.1075752985130236,130816.0,0.0,0.0059674083096690434,0.0,0.0
1024,0.4286152124404907,523776.0,0.0,0.02119548862538954,0.0,0.0
2048,1.6760197796867888,2096128.0,0.0,0.04616678934387347,0.0,0.0
2896,3.3624592035719494,4191960.0,0.0,0.09740356304062495,0.0,0.0
4096,6.738045075564709,8386560.0,0.0,0.20933212570278445,0.0,0.0
