N,TIME_MEAN,COMP_MEAN,ERR_MEAN,TIME_SD,COMP_SD,ERR_SD
2,1.5126848683773893e-05,1.0,0.0,1.278503292790834e-06,0.0,0.0
4,2.0719268946971708e-05,4.800970873786408,0.0,1.5020008884389753e-06,0.891257828139925,0.0
8,3.3082313907956614e-05,16.864077669902912,0.0,5.4884508121534865e-06,3.0668917885570157,0.0
16,6.162310109555142e-05,50.067961165048544,0.0,5.811558645809493e-06,6.9783807415541785,0.0
32,0.0001344240984870392,138.45145631067962,0.0,1.4161194150716697e-05,16.864888415979742,0.0
64,0.00031281790687042534,362.83009708737865,0.0,3.3576848506105545e-05,41.45176764585725,0.0
128,0.0007212358771018612,890.1504854368932,0.0,5.494197454990032e-05,73.8130246604168,0.0
256,0.001684563831218238,2149.597087378641,0.0,0.00015809788046399924,178.14895874989102,0.0
512,0.003854601128587445,4946.184466019417,0.0,0.0002957558635369014,335.1896222729301,0.0
1024,0.008912589943524703,11351.203883495145,0.0,0.0005695748884018779,637.6012571402257,0.0
2048,0.020464335830466262,25463.78640776699,0.0,0.0015364783999527838,1344.111407624767,0.0
2896,0.030745157917726387,38059.26699029126,0.0,0.0023015217170254724,1839.3434012931498,0.0
4096,0.043790847352407514,56593.53398058253,0.0,0.0023993949822976,2669.484964724182,0.0
